wrestler,points,primary,tag_team,wwe divas,wwe raw women,wwe smackdown women,nxt women,wwe women tag team
Alexa Bliss,14,7,0,5,1,0,1,0
Paige,12,6,0,0,0,4,2,0
Charlotte Flair,11,5,1,0,5,0,0,1
Nia Jax,10,5,0,0,2,1,2,0
Trish Stratus,10,5,0,1,3,1,0,0
Dakota Kai,10,5,0,1,0,4,0,0
Beth Phoenix,10,5,0,3,2,0,0,0
Stephanie McMahon,10,5,0,0,0,0,5,0
Bayley,6,3,0,0,0,2,1,0
Asuka,5,2,1,1,0,1,0,1
Kairi Sane,5,2,1,0,0,0,2,1
Liv Morgan,5,2,1,0,2,0,0,1
Alundra Blayze,4,2,0,2,0,0,0,0
Lita,4,2,0,1,0,0,1,0
Nikki Bella,4,2,0,1,0,1,0,0
Bianca Belair,4,2,0,1,0,1,0,0
Becky Lynch,3,1,1,0,0,0,1,1
Billie Kay,2,1,0,0,0,0,1,0
AJ Lee,2,1,0,0,0,0,1,0
Ivory,2,1,0,0,0,1,0,0
Natalya,2,1,0,0,1,0,0,0
Peyton Royce,2,1,0,0,1,0,0,0
Tamina,2,1,0,1,0,0,0,0
Lana,2,1,0,0,0,1,0,0
Ruby Riott,1,0,1,0,0,0,0,1
