wrestler,total,points,primary,secondary,tertiary,tag_team,wwe universal,wwe,wwe world heavyweight,ecw world,wwe intercontinental,wwe united states,wwe hardcore,nxt,wwe cruserweight,wwe united kingdom,wwe european,nxt north american,wwe universal tag team,wwe/wwe smackdown tag team,wwe world/wwe raw tag team,nxt tag team
Big Evil,23,31,2,4,8,9,0,2,0,0,0,0,0,4,8,0,0,0,2,1,0,6
Goldberg,20,59,19,1,0,0,1,2,13,3,1,0,0,0,0,0,0,0,0,0,0,0
The Rock,17,39,11,0,0,6,10,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0
Finn Balor,15,23,3,2,4,6,1,2,0,0,0,0,0,2,3,1,0,0,0,0,0,6
Scott Hall,15,20,1,3,0,11,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,10
Earthquake,15,17,0,2,0,13,0,0,0,0,0,1,1,0,0,0,0,0,0,8,2,3
Samoa Joe,14,34,6,8,0,0,0,6,0,0,2,0,0,6,0,0,0,0,0,0,0,0
Big Show,14,26,6,0,0,8,2,0,4,0,0,0,0,0,0,0,0,0,2,2,4,0
Road Warrior Animal,14,16,0,2,0,12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,11,1
Typhoon,14,15,0,1,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,8,2,3
Seth Rollins,13,39,13,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Randy Orton,13,28,6,3,0,4,1,4,0,1,0,0,3,0,0,0,0,0,0,2,2,0
Sycho Sid,13,22,2,5,3,3,0,0,2,0,0,0,0,5,0,3,0,0,0,3,0,0
Road Warrior Hawk,13,13,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,1
Undertaker,12,33,9,3,0,0,1,6,0,2,0,1,2,0,0,0,0,0,0,0,0,0
Braun Strowman,11,18,1,5,5,0,1,0,0,0,1,2,2,0,0,5,0,0,0,0,0,0
Giant Gonzalez,10,26,7,2,1,0,0,0,2,5,2,0,0,0,0,0,1,0,0,0,0,0
Warlord,10,24,7,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,2,1,0
Chris Jericho,10,12,0,2,0,8,0,0,0,0,0,1,1,0,0,0,0,0,2,2,4,0
Kofi Kingston,9,13,1,2,0,6,0,1,0,0,0,2,0,0,0,0,0,0,0,3,3,0
Brock Lesnar,8,18,4,2,2,0,2,0,2,0,1,0,0,1,0,0,2,0,0,0,0,0
Kevin Owens,8,14,3,0,2,3,2,0,1,0,0,0,0,0,0,0,2,0,2,0,1,0
Barbarian,8,14,2,2,1,3,2,0,0,0,0,0,2,0,0,1,0,0,0,2,1,0
Batista,8,14,1,4,0,3,1,0,0,0,2,2,0,0,0,0,0,0,0,1,2,0
Lex Luger,8,11,0,3,0,5,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,3
Karl Anderson,8,9,0,1,0,7,0,0,0,0,0,1,0,0,0,0,0,0,3,0,4,0
The Great Khali,8,8,0,0,4,4,0,0,0,0,0,0,0,0,0,1,0,3,4,0,0,0
